delta_(+) or Re_( tau),H,U_(oo+),Re_(1)^('),f_(1)^('),beta,theta_(+),Case
1010,1.356,22.506,4.1857 xx10^(8),2.4120 xx10^(-6),-0.2292,85,1
1956,1.309,23.955,1.8152 xx10^(9),1.0778 xx10^(-6),-0.2085,156,1
4048,1.278,25.816,9.0598 xx10^(9),4.4681 xx10^(-7),-0.1880,297,1
5895,1.269,26.957,2.1519 xx10^(10),2.7392 xx10^(-7),-0.1800,417,1
183,1.617,18.371,8.7420 xx10^(6),2.0933 xx10^(-5),-0.2799,16,2
550,1.402,20.777,1.0328 xx10^(8),5.3253 xx10^(-6),-0.2441,48,2
999,1.350,22.412,4.0033 xx10^(8),2.4954 xx10^(-6),-0.2314,86,2
2022,1.305,24.101,1.9314 xx10^(9),1.0469 xx10^(-6),-0.2114,164,2
4079,1.271,25.954,9.2826 xx10^(9),4.3942 xx10^(-7),-0.1923,309,2
5186,1.259,26.575,1.5824 xx10^(10),3.2772 xx10^(-7),-0.1860,383,3
1995,1.307,24.396,1.9232 xx10^(9),1.0373 xx10^(-6),-0.2131,163,3
1000,1.349,22.593,4.0798 xx10^(8),2.4511 xx10^(-6),-0.2306,85,3
851,1.366,23.043,2.9890 xx10^(8),2.8469 xx10^(-6),-0.2566,81,4
1091,1.353,23.654,5.1902 xx10^(8),2.1012 xx10^(-6),-0.2530,102,4
1430,1.340,24.314,9.5054 xx10^(8),1.5047 xx10^(-6),-0.2451,132,4
1818,1.330,24.940,1.6225 xx10^(9),1.1206 xx10^(-6),-0.2409,158,4
3321,1.301,26.192,6.0712 xx10^(9),5.4696 xx10^(-7),-0.2233,285,4
5050,1.283,27.284,1.5396 xx10^(10),3.2803 xx10^(-7),-0.2126,418,4
6595,1.271,27.695,2.7264 xx10^(10),2.4188 xx10^(-7),-0.2045,530,4
8509,1.264,28.354,4.7821 xx10^(10),1.7792 xx10^(-7),-0.1991,670,4
10878,1.256,28.843,8.1286 xx10^(10),1.3382 xx10^(-7),-0.1940,840,4
14800,1.249,29.617,1.5952 xx10^(11),9.2777 xx10^(-8),-0.1886,1117,4
19709,1.241,30.291,2.9714 xx10^(11),6.6329 xx10^(-8),-0.1842,1462,4
25166,1.235,30.887,5.0414 xx10^(11),4.9918 xx10^(-8),-0.1830,1865,4
32836,1.231,31.588,9.0123 xx10^(11),3.6435 xx10^(-8),-0.1791,2389,4
54358,1.222,32.743,2.6718 xx10^(12),2.0345 xx10^(-8),-0.1722,3830,4
76406,1.216,33.456,5.5271 xx10^(12),1.3824 xx10^(-8),-0.1692,5317,4
102110,1.213,34.246,1.0356 xx10^(13),9.8598 xx10^(-9),-0.1678,7063,4
127380,1.211,34.846,1.6736 xx10^(13),7.6111 xx10^(-9),-0.1648,8674,4
165290,1.206,35.510,2.9267 xx10^(13),5.6476 xx10^(-9),-0.1645,11276,4
216190,1.203,36.011,5.1578 xx10^(13),4.1915 xx10^(-9),-0.1627,14621,4
283230,1.199,36.559,9.1645 xx10^(13),3.0905 xx10^(-9),-0.1584,18701,4
528860,1.193,37.900,3.4819 xx10^(14),1.5189 xx10^(-9),-0.1450,32157,4
181,1.628,19.132,9.1387 xx10^(6),1.9812 xx10^(-5),-0.2952,16,5
361,1.469,20.605,4.2548 xx10^(7),8.4897 xx10^(-6),-0.2760,34,5
550,1.416,21.796,1.1051 xx10^(8),4.9773 xx10^(-6),-0.2710,53,5
999,1.367,23.430,4.2714 xx10^(8),2.3389 xx10^(-6),-0.2546,93,5
171,1.652,18.885,7.9988 xx10^(6),2.1435 xx10^(-5),-0.2953,15,6
500,1.431,21.444,8.8707 xx10^(7),5.6393 xx10^(-6),-0.2698,47,6
1002,1.373,23.569,4.3178 xx10^(8),2.3204 xx10^(-6),-0.2612,95,6
2003,1.323,24.961,2.0131 xx10^(9),9.9511 xx10^(-7),-0.2220,168,6
2568,1.350,27.320,3.5878 xx10^(9),7.1579 xx10^(-7),0,296,7
3914,1.329,28.636,9.2575 xx10^(9),4.2274 xx10^(-7),0,442,8
6575,1.309,30.038,2.9126 xx10^(10),2.2576 xx10^(-7),0,721,8
7925,1.295,30.223,4.3183 xx10^(10),1.8353 xx10^(-7),0,854,8
10748,1.291,31.211,8.5372 xx10^(10),1.2589 xx10^(-7),0,1132,8
10768,1.286,31.288,8.5568 xx10^(10),1.2584 xx10^(-7),0,1159,9
2622,1.348,27.641,3.8238 xx10^(9),6.8558 xx10^(-7),0,302,10
4635,1.315,29.110,1.3508 xx10^(10),3.4310 xx10^(-7),0,516,10
8261,1.289,30.550,4.8297 xx10^(10),1.7105 xx10^(-7),0,873,10
14717,1.262,31.931,1.7143 xx10^(11),8.5846 xx10^(-8),0,1467,10
25062,1.247,33.294,5.4761 xx10^(11),4.5766 xx10^(-8),0,2383,10
40053,1.238,34.546,1.5096 xx10^(12),2.6531 xx10^(-8),0,3784,10
72526,1.230,35.964,5.4698 xx10^(12),1.3259 xx10^(-8),0,6459,10
594,1.433,22.399,1.3020 xx10^(8),4.5640 xx10^(-6),0,65,11
1084,1.385,24.411,5.1505 xx10^(8),2.1043 xx10^(-6),0,120,11
1700,1.364,26.066,1.4275 xx10^(9),1.1911 xx10^(-6),0,197,11
4348,1.311,27.988,1.1143 xx10^(10),3.9018 xx10^(-7),0,466,11
11778,1.274,29.955,9.9160 xx10^(10),1.1878 xx10^(-7),0,1054,11
1149,1.395,25.433,6.0272 xx10^(8),1.9063 xx10^(-6),0,141,12
1124,1.397,25.363,5.7277 xx10^(8),1.9624 xx10^(-6),0,138,12
846,1.409,24.358,3.0034 xx10^(8),2.8168 xx10^(-6),0,103,12
1400,1.377,25.841,9.3461 xx10^(8),1.4979 xx10^(-6),0,168,12
1715,1.364,26.364,1.4707 xx10^(9),1.1661 xx10^(-6),0,441,12
1808,1.361,26.472,1.6505 xx10^(9),1.0954 xx10^(-6),0,214,12
2016,1.354,26.688,2.0951 xx10^(9),9.6226 xx10^(-7),0,236,12
790,1.410,"24,185",2.5889 xx10^(8),3.0515 xx10^(-6),0,95,12
828,1.407,24.339,2.8803 xx10^(8),2.8747 xx10^(-6),0,100,12
1112,1.394,25.351,5.6125 xx10^(8),1.9813 xx10^(-6),0,136,12
1153,1.392,25.468,6.1063 xx10^(8),1.8882 xx10^(-6),0,141,12
1276,1.385,25.849,7.7242 xx10^(8),1.6520 xx10^(-6),0,155,12
1666,1.374,26.582,1.3970 xx10^(9),1.1926 xx10^(-6),0,202,12
1781,1.370,26.690,1.6119 xx10^(9),1.1049 xx10^(-6),0,215,12
445,1.437,21.677,6.7406 xx10^(7),6.6087 xx10^(-6),0,51,13
578,1.424,22.834,1.2461 xx10^(8),4.6366 xx10^(-6),0,68,13
690,1.418,23.663,1.8955 xx10^(8),3.6424 xx10^(-6),0,83,13
1307,1.381,25.689,8.1064 xx10^(8),1.6122 xx10^(-6),0,154,13
1437,1.379,26.113,1.0101 xx10^(9),1.4227 xx10^(-6),0,171,13
1571,1.376,26.457,1.2384 xx10^(9),1.2687 xx10^(-6),0,187,13
1709,1.373,26.753,1.4994 xx10^(9),1.1401 xx10^(-6),0,204,13
1848,1.370,26.985,1.7824 xx10^(9),1.0366 xx10^(-6),0,221,13
1989,1.366,27.182,2.0989 xx10^(9),9.4786 xx10^(-7),0,237,13
1272,1.392,25.946,7.7169 xx10^(8),1.6477 xx10^(-6),0,155,14
1245,1.393,25.876,7.3532 xx10^(8),1.6928 xx10^(-6),0,152,14
1145,1.397,25.584,6.0732 xx10^(8),1.8856 xx10^(-6),0,140,14
2474,1.294,25.525,3.0587 xx10^(9),8.0886 xx10^(-7),-0.4200,251,15
733,1.417,22.440,2.1923 xx10^(8),3.3434 xx10^(-6),-0.7099,58,16
739,1.430,22.397,2.2295 xx10^(8),3.3153 xx10^(-6),-0.7027,57,16
586,1.427,22.336,1.3739 xx10^(8),4.2637 xx10^(-6),-0.7163,48,16
610,1.435,22.336,1.5053 xx10^(8),4.0544 xx10^(-6),-0.7195,48,16
1497,1.292,22.500,8.8340 xx10^(8),1.6940 xx10^(-6),-1.5000,144,17
1410,1.246,21.108,7.3945 xx10^(8),1.9072 xx10^(-6),-1.5000,104,17
1493,1.236,19.920,7.8054 xx10^(8),1.9128 xx10^(-6),-1.5000,78,17
1186,1.293,20.120,5.2299 xx10^(8),2.2669 xx10^(-6),-1.2500,42,17
392,1.436,20.015,4.8517 xx10^(7),8.0741 xx10^(-6),-0.5900,34,18
