u_tau,U_inf,nu,M,delta,delta_star,theta
0.04443259575224385,1.0,4.3992669061627574e-05,0.810409817776759,1.0,0.11411881188118814,0.08415841584158416
0.04174493842621582,1.0,2.1341993060437536e-05,0.8266099333834573,1.0,0.10439877300613497,0.07975460122699386
0.038735667802912925,1.0,9.569087895976512e-06,0.8295808283508005,1.0,0.09376630434782608,0.0733695652173913
0.03709611603665096,1.0,6.292810184334344e-06,0.8522153066394776,1.0,0.08976641221374045,0.07073791348600508
0.05443361820260193,1.0,0.0002974514655879887,0.7734849047733705,1.0,0.14137704918032787,0.08743169398907104
0.048130143909130285,1.0,8.750935256205506e-05,0.7909108843082134,1.0,0.12235636363636362,0.08727272727272727
0.044618954131715155,1.0,4.466361774946462e-05,0.7986070015708187,1.0,0.11621621621621622,0.08608608608608609
0.04149205427160699,1.0,2.0520303794068738e-05,0.8132864253446965,1.0,0.10584569732937685,0.08110781404549951
0.038529706403637204,1.0,9.44587065546389e-06,0.8282431912105862,1.0,0.09628315763667565,0.07575386124050013
0.03762935089369709,1.0,7.255948880388949e-06,0.8331400173528751,1.0,0.09298052448900887,0.0738526802930968
0.04099032628299721,1.0,2.054652946516151e-05,0.811924175031511,1.0,0.10678746867167921,0.08170426065162908
0.044261496923825965,1.0,4.426149692382596e-05,0.7992656806894273,1.0,0.11466499999999999,0.08499999999999999
0.043397127110185306,1.0,5.099544901314372e-05,0.7773564167566026,1.0,0.13001880141010577,0.09518213866039953
0.0422761477974127,1.0,3.8749906322101466e-05,0.7796481852318001,1.0,0.12649495875343722,0.0934922089825848
0.041128567903265606,1.0,2.8761236295989934e-05,0.7861423938203558,1.0,0.12369230769230768,0.0923076923076923
0.040096230954290296,1.0,2.2055132538113475e-05,0.7891555309438522,1.0,0.11558855885588559,0.08690869086908691
0.03817959682345754,1.0,1.1496415785443403e-05,0.8024874206579313,1.0,0.11164859981933152,0.08581752484191509
0.036651517372819235,1.0,7.257726212439452e-06,0.8109218009401278,1.0,0.10619683168316832,0.08277227722772278
0.03610760064993681,1.0,5.474996307799365e-06,0.817301886232421,1.0,0.10214253222137984,0.08036391205458682
